x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
0.0;0.0;y;0.0;0.0;-0.00;-0.00;0.0;0.0
0.00;0.00;p;26.01;1.69;-0.00;0.00;5.00;0.00
5.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;5.00
5.00;0.00;p;10100.00;180.91;90.00;0.00;1000.00;5.00
5.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1000.01
5.00;1000.00;p;50.50;1.49;-0.00;0.00;10.00;1000.01
15.00;1000.00;y;38.72;2.18;-0.00;-90.00;0.00;1000.11
15.00;1000.00;p;10150.00;222.90;-90.00;0.00;1000.00;1000.11
15.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;15.00
15.00;0.00;p;51.51;1.09;-0.00;0.00;10.00;15.00
25.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;25.00
25.00;0.00;p;10100.00;265.61;90.00;0.00;1000.00;25.00
25.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1000.31
25.00;1000.00;p;50.50;3.53;-0.00;0.00;10.00;1000.31
35.00;1000.00;y;38.72;0.43;-0.00;-90.00;0.00;1000.61
35.00;1000.00;p;10150.00;195.15;-90.00;0.00;1000.00;1000.61
35.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;35.00
35.00;0.00;p;51.51;1.13;-0.00;0.00;10.00;35.00
45.00;0.00;y;38.72;0.40;-0.00;90.00;0.00;45.00
45.00;0.00;p;10100.00;172.99;90.00;0.00;1000.00;45.00
45.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1001.01
45.00;1000.00;p;50.50;1.18;-0.00;0.00;10.00;1001.01
55.00;1000.00;y;38.72;0.55;-0.00;-90.00;0.00;1001.51
55.00;1000.00;p;10150.00;269.85;-90.00;0.00;1000.00;1001.51
55.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;55.00
55.00;0.00;p;51.51;0.42;-0.00;0.00;10.00;55.00
65.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;65.00
65.00;0.00;p;10100.00;221.42;90.00;0.00;1000.00;65.00
65.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1002.11
65.00;1000.00;p;50.50;1.21;-0.00;0.00;10.00;1002.11
75.00;1000.00;y;38.72;0.46;-0.00;-90.00;0.00;1002.81
75.00;1000.00;p;10150.00;182.71;-90.00;0.00;1000.00;1002.81
75.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;75.00
75.00;0.00;p;51.51;0.62;-0.00;0.00;10.00;75.00
85.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;85.00
85.00;0.00;p;10100.00;185.04;90.00;0.00;1000.00;85.00
85.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1003.61
85.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1003.61
95.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1004.50
95.00;1000.00;p;10150.00;189.19;-90.00;0.00;1000.00;1004.50
95.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;95.00
95.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;95.00
105.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;105.00
105.00;0.00;p;10100.00;225.48;90.00;0.00;1000.00;105.00
105.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1005.50
105.00;1000.00;p;50.50;0.78;-0.00;0.00;10.00;1005.50
115.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1006.59
115.00;1000.00;p;10150.00;156.05;-90.00;0.00;1000.00;1006.59
115.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;115.00
115.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;115.00
125.00;0.00;y;38.72;2.49;-0.00;90.00;0.00;125.00
125.00;0.00;p;10100.00;170.52;90.00;0.00;1000.00;125.00
125.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1007.78
125.00;1000.00;p;50.50;1.51;-0.00;0.00;10.00;1007.78
135.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1009.07
135.00;1000.00;p;10150.00;210.47;-90.00;0.00;1000.00;1009.07
135.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;135.00
135.00;0.00;p;51.51;1.16;-0.00;0.00;10.00;135.00
145.00;0.00;y;38.72;0.49;-0.00;90.00;0.00;145.00
145.00;0.00;p;10100.00;215.22;90.00;0.00;1000.00;145.00
145.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1010.46
145.00;1000.00;p;50.50;2.65;-0.00;0.00;10.00;1010.46
155.00;1000.00;y;38.72;0.05;-0.00;-90.00;0.00;1011.94
155.00;1000.00;p;10150.00;172.09;-90.00;0.00;1000.00;1011.94
