x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
0.0;0.0;y;0.0;0.0;-0.00;-0.00;0.0;0.0
0.00;0.00;p;37.21;0.29;-0.00;0.00;6.00;0.00
6.00;0.00;y;28.58;1.07;-0.00;90.00;0.00;6.00
6.00;0.00;p;118.58;0.17;90.00;0.00;9.76;6.00
6.00;9.76;p;119.79;0.94;90.00;0.00;9.76;11.45
6.00;19.51;p;118.58;1.98;90.00;0.00;9.76;20.41
6.00;29.27;p;119.79;0.56;90.00;0.00;9.76;29.88
6.00;39.02;p;118.58;1.65;90.00;0.00;9.76;39.48
6.00;48.78;p;119.79;0.75;90.00;0.00;9.76;49.15
6.00;58.54;p;118.58;0.06;90.00;0.00;9.76;58.84
6.00;68.29;p;119.79;4.61;90.00;0.00;9.76;68.56
6.00;78.05;p;119.79;0.29;90.00;0.00;9.76;78.28
6.00;87.80;p;118.58;3.39;90.00;0.00;9.76;88.01
6.00;97.56;p;119.79;1.07;90.00;0.00;9.76;97.75
6.00;107.32;p;118.58;6.69;90.00;0.00;9.76;107.48
6.00;117.07;p;119.79;1.72;90.00;0.00;9.76;117.23
6.00;126.83;p;118.58;2.30;90.00;0.00;9.76;126.97
6.00;136.59;p;119.79;1.98;90.00;0.00;9.76;136.72
6.00;146.34;p;118.58;1.38;90.00;0.00;9.76;146.46
6.00;156.10;p;119.79;1.89;90.00;0.00;9.76;156.21
6.00;165.85;p;119.79;0.00;90.00;0.00;9.76;165.96
6.00;175.61;p;118.58;2.56;90.00;0.00;9.76;175.71
6.00;185.37;p;119.79;4.33;90.00;0.00;9.76;185.46
6.00;195.12;p;118.58;0.72;90.00;0.00;9.76;195.21
6.00;204.88;p;119.79;0.64;90.00;0.00;9.76;204.97
6.00;214.63;p;118.58;1.30;90.00;0.00;9.76;214.72
6.00;224.39;p;119.79;4.18;90.00;0.00;9.76;224.47
6.00;234.15;p;119.79;0.29;90.00;0.00;9.76;234.22
6.00;243.90;p;118.58;0.62;90.00;0.00;9.76;243.98
6.00;253.66;p;119.79;3.59;90.00;0.00;9.76;253.73
6.00;263.41;p;118.58;4.19;90.00;0.00;9.76;263.48
6.00;273.17;p;119.79;2.58;90.00;0.00;9.76;273.24
6.00;282.93;p;118.58;6.45;90.00;0.00;9.76;282.99
6.00;292.68;p;119.79;5.12;90.00;0.00;9.76;292.74
6.00;302.44;p;118.58;1.67;90.00;0.00;9.76;302.50
6.00;312.20;p;119.79;2.82;90.00;0.00;9.76;312.25
6.00;321.95;p;119.79;2.31;90.00;0.00;9.76;322.01
6.00;331.71;p;118.58;2.34;90.00;0.00;9.76;331.76
6.00;341.46;p;119.79;0.29;90.00;0.00;9.76;341.52
6.00;351.22;p;118.58;5.99;90.00;0.00;9.76;351.27
6.00;360.98;p;119.79;1.67;90.00;0.00;9.76;361.03
6.00;370.73;p;118.58;0.81;90.00;0.00;9.76;370.78
6.00;380.49;p;119.79;4.93;90.00;0.00;9.76;380.54
6.00;390.24;p;119.79;4.83;90.00;0.00;9.76;390.29
6.00;400.00;y;29.15;0.00;90.00;-90.00;0.00;400.04
6.00;400.00;p;73.81;0.00;-0.00;0.00;6.00;400.04
12.00;400.00;p;73.81;0.01;-0.00;0.00;6.00;400.18
18.00;400.00;y;29.10;1.14;-0.00;-90.00;0.00;400.40
18.00;400.00;p;119.79;0.81;-90.00;0.00;9.76;400.40
18.00;390.24;p;119.79;1.32;-90.00;0.00;9.76;390.66
18.00;380.49;p;118.58;0.00;-90.00;0.00;9.76;380.91
18.00;370.73;p;119.79;1.65;-90.00;0.00;9.76;371.17
18.00;360.98;p;118.58;1.48;-90.00;0.00;9.76;361.42
18.00;351.22;p;119.79;5.68;-90.00;0.00;9.76;351.68
18.00;341.46;p;118.58;7.32;-90.00;0.00;9.76;341.94
18.00;331.71;p;119.79;0.48;-90.00;0.00;9.76;332.20
18.00;321.95;p;119.79;4.11;-90.00;0.00;9.76;322.45
18.00;312.20;p;118.58;3.58;-90.00;0.00;9.76;312.71
18.00;302.44;p;119.79;2.59;-90.00;0.00;9.76;302.97
18.00;292.68;p;118.58;4.08;-90.00;0.00;9.76;293.24
18.00;282.93;p;119.79;5.12;-90.00;0.00;9.76;283.50
18.00;273.17;p;118.58;1.13;-90.00;0.00;9.76;273.76
18.00;263.41;p;119.79;0.19;-90.00;0.00;9.76;264.03
18.00;253.66;p;118.58;2.65;-90.00;0.00;9.76;254.30
18.00;243.90;p;119.79;3.99;-90.00;0.00;9.76;244.57
18.00;234.15;p;119.79;1.41;-90.00;0.00;9.76;234.84
18.00;224.39;p;118.58;3.74;-90.00;0.00;9.76;225.11
18.00;214.63;p;119.79;2.64;-90.00;0.00;9.76;215.39
18.00;204.88;p;118.58;6.14;-90.00;0.00;9.76;205.67
18.00;195.12;p;119.79;6.25;-90.00;0.00;9.76;195.95
18.00;185.37;p;118.58;1.13;-90.00;0.00;9.76;186.24
18.00;175.61;p;119.79;0.00;-90.00;0.00;9.76;176.53
18.00;165.85;p;119.79;0.54;-90.00;0.00;9.76;166.83
18.00;156.10;p;118.58;4.79;-90.00;0.00;9.76;157.13
18.00;146.34;p;119.79;0.52;-90.00;0.00;9.76;147.44
18.00;136.59;p;118.58;0.13;-90.00;0.00;9.76;137.77
18.00;126.83;p;119.79;0.62;-90.00;0.00;9.76;128.10
18.00;117.07;p;118.58;0.52;-90.00;0.00;9.76;118.45
18.00;107.32;p;119.79;0.18;-90.00;0.00;9.76;108.82
18.00;97.56;p;118.58;3.46;-90.00;0.00;9.76;99.21
18.00;87.80;p;119.79;4.72;-90.00;0.00;9.76;89.63
18.00;78.05;p;119.79;0.00;-90.00;0.00;9.76;80.10
18.00;68.29;p;118.58;1.41;-90.00;0.00;9.76;70.62
18.00;58.54;p;119.79;0.51;-90.00;0.00;9.76;61.24
18.00;48.78;p;118.58;6.20;-90.00;0.00;9.76;52.00
18.00;39.02;p;119.79;0.91;-90.00;0.00;9.76;42.98
18.00;29.27;p;118.58;4.27;-90.00;0.00;9.76;34.36
18.00;19.51;p;119.79;2.62;-90.00;0.00;9.76;26.55
18.00;9.76;p;118.58;0.86;-90.00;0.00;9.76;20.47
18.00;0.00;y;28.62;0.00;-90.00;90.00;0.00;18.00
18.00;0.00;p;37.21;0.00;-0.00;0.00;6.00;18.00
24.00;0.00;p;37.21;0.01;-0.00;0.00;6.00;24.00
30.00;0.00;y;28.58;0.00;-0.00;90.00;0.00;30.00
30.00;0.00;p;118.58;0.49;90.00;0.00;9.76;30.00
30.00;9.76;p;119.79;2.03;90.00;0.00;9.76;31.55
30.00;19.51;p;118.58;1.79;90.00;0.00;9.76;35.79
30.00;29.27;p;119.79;0.36;90.00;0.00;9.76;41.91
30.00;39.02;p;118.58;0.19;90.00;0.00;9.76;49.22
30.00;48.78;p;119.79;0.00;90.00;0.00;9.76;57.27
30.00;58.54;p;118.58;2.21;90.00;0.00;9.76;65.78
30.00;68.29;p;119.79;7.23;90.00;0.00;9.76;74.59
30.00;78.05;p;119.79;1.22;90.00;0.00;9.76;83.62
30.00;87.80;p;118.58;1.13;90.00;0.00;9.76;92.79
30.00;97.56;p;119.79;2.13;90.00;0.00;9.76;102.07
30.00;107.32;p;118.58;2.78;90.00;0.00;9.76;111.43
30.00;117.07;p;119.79;0.43;90.00;0.00;9.76;120.86
30.00;126.83;p;118.58;7.48;90.00;0.00;9.76;130.33
30.00;136.59;p;119.79;0.68;90.00;0.00;9.76;139.84
30.00;146.34;p;118.58;3.24;90.00;0.00;9.76;149.38
30.00;156.10;p;119.79;1.13;90.00;0.00;9.76;158.95
30.00;165.85;p;119.79;1.12;90.00;0.00;9.76;168.55
30.00;175.61;p;118.58;1.36;90.00;0.00;9.76;178.15
30.00;185.37;p;119.79;2.88;90.00;0.00;9.76;187.78
30.00;195.12;p;118.58;0.49;90.00;0.00;9.76;197.41
30.00;204.88;p;119.79;3.39;90.00;0.00;9.76;207.06
30.00;214.63;p;118.58;2.56;90.00;0.00;9.76;216.72
30.00;224.39;p;119.79;5.38;90.00;0.00;9.76;226.39
30.00;234.15;p;119.79;6.50;90.00;0.00;9.76;236.06
30.00;243.90;p;118.58;11.68;90.00;0.00;9.76;245.74
30.00;253.66;p;119.79;0.23;90.00;0.00;9.76;255.43
30.00;263.41;p;118.58;0.00;90.00;0.00;9.76;265.12
30.00;273.17;p;119.79;3.47;90.00;0.00;9.76;274.81
30.00;282.93;p;118.58;0.28;90.00;0.00;9.76;284.51
30.00;292.68;p;119.79;1.11;90.00;0.00;9.76;294.22
30.00;302.44;p;118.58;0.29;90.00;0.00;9.76;303.92
30.00;312.20;p;119.79;1.16;90.00;0.00;9.76;313.63
30.00;321.95;p;119.79;3.61;90.00;0.00;9.76;323.35
30.00;331.71;p;118.58;6.01;90.00;0.00;9.76;333.06
30.00;341.46;p;119.79;2.65;90.00;0.00;9.76;342.78
30.00;351.22;p;118.58;1.04;90.00;0.00;9.76;352.50
30.00;360.98;p;119.79;2.20;90.00;0.00;9.76;362.22
30.00;370.73;p;118.58;3.44;90.00;0.00;9.76;371.94
30.00;380.49;p;119.79;2.00;90.00;0.00;9.76;381.67
30.00;390.24;p;119.79;2.63;90.00;0.00;9.76;391.40
30.00;400.00;y;29.15;1.60;90.00;-90.00;0.00;401.12
30.00;400.00;p;73.81;0.00;-0.00;0.00;6.00;401.12
36.00;400.00;p;73.81;0.71;-0.00;0.00;6.00;401.62
42.00;400.00;y;29.10;2.51;-0.00;-90.00;0.00;402.20
42.00;400.00;p;119.79;1.98;-90.00;0.00;9.76;402.20
42.00;390.24;p;119.79;1.10;-90.00;0.00;9.76;392.50
42.00;380.49;p;118.58;0.29;-90.00;0.00;9.76;382.80
42.00;370.73;p;119.79;3.06;-90.00;0.00;9.76;373.10
42.00;360.98;p;118.58;0.89;-90.00;0.00;9.76;363.41
42.00;351.22;p;119.79;3.54;-90.00;0.00;9.76;353.72
42.00;341.46;p;118.58;2.56;-90.00;0.00;9.76;344.04
42.00;331.71;p;119.79;8.31;-90.00;0.00;9.76;334.36
42.00;321.95;p;119.79;6.58;-90.00;0.00;9.76;324.68
42.00;312.20;p;118.58;0.49;-90.00;0.00;9.76;315.01
42.00;302.44;p;119.79;2.59;-90.00;0.00;9.76;305.34
42.00;292.68;p;118.58;0.46;-90.00;0.00;9.76;295.68
42.00;282.93;p;119.79;0.53;-90.00;0.00;9.76;286.03
42.00;273.17;p;118.58;1.32;-90.00;0.00;9.76;276.38
42.00;263.41;p;119.79;4.26;-90.00;0.00;9.76;266.74
42.00;253.66;p;118.58;11.45;-90.00;0.00;9.76;257.11
42.00;243.90;p;119.79;7.54;-90.00;0.00;9.76;247.49
42.00;234.15;p;119.79;2.02;-90.00;0.00;9.76;237.88
42.00;224.39;p;118.58;0.84;-90.00;0.00;9.76;228.29
42.00;214.63;p;119.79;2.11;-90.00;0.00;9.76;218.70
42.00;204.88;p;118.58;1.78;-90.00;0.00;9.76;209.14
42.00;195.12;p;119.79;0.49;-90.00;0.00;9.76;199.59
42.00;185.37;p;118.58;1.05;-90.00;0.00;9.76;190.06
42.00;175.61;p;119.79;7.00;-90.00;0.00;9.76;180.56
42.00;165.85;p;119.79;1.91;-90.00;0.00;9.76;171.09
42.00;156.10;p;118.58;2.39;-90.00;0.00;9.76;161.65
42.00;146.34;p;119.79;0.00;-90.00;0.00;9.76;152.25
42.00;136.59;p;118.58;3.39;-90.00;0.00;9.76;142.90
42.00;126.83;p;119.79;1.39;-90.00;0.00;9.76;133.60
42.00;117.07;p;118.58;0.00;-90.00;0.00;9.76;124.38
42.00;107.32;p;119.79;4.45;-90.00;0.00;9.76;115.24
42.00;97.56;p;118.58;1.96;-90.00;0.00;9.76;106.22
42.00;87.80;p;119.79;0.97;-90.00;0.00;9.76;97.33
42.00;78.05;p;119.79;13.85;-90.00;0.00;9.76;88.63
42.00;68.29;p;118.58;2.27;-90.00;0.00;9.76;80.17
42.00;58.54;p;119.79;1.18;-90.00;0.00;9.76;72.05
42.00;48.78;p;118.58;1.37;-90.00;0.00;9.76;64.37
42.00;39.02;p;119.79;0.69;-90.00;0.00;9.76;57.33
42.00;29.27;p;118.58;0.67;-90.00;0.00;9.76;51.19
42.00;19.51;p;119.79;1.57;-90.00;0.00;9.76;46.31
42.00;9.76;p;118.58;4.33;-90.00;0.00;9.76;43.12
42.00;0.00;y;28.62;0.00;-90.00;90.00;0.00;42.00
42.00;0.00;p;37.21;0.00;-0.00;0.00;6.00;42.00
