x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
0.0;0.0;y;0.0;0.0;-2.67;-2.67;0.0;0.0
0.00;0.00;p;60.03;1.36;-2.67;0.00;9.68;0.00
9.67;0.45;p;66.04;0.00;-2.67;0.00;9.68;9.68
19.34;0.90;p;70.49;0.58;-2.67;0.00;9.68;19.36
29.01;1.35;p;74.14;0.28;-2.67;0.00;9.68;29.04
38.68;1.80;p;79.78;4.05;-2.67;0.00;9.68;38.72
48.35;2.25;y;2.28;0.23;-2.67;-4.91;0.00;48.40
48.35;2.25;p;60.49;0.36;-7.58;0.00;6.79;48.40
55.08;3.15;y;27.58;0.49;-7.58;-85.21;0.00;55.17
55.08;3.15;p;84.88;0.00;-92.80;0.00;6.89;55.17
54.74;10.03;y;21.88;0.29;-92.80;-66.85;0.00;55.66
54.74;10.03;p;92.42;1.98;-159.65;0.00;7.56;55.66
47.65;12.66;y;25.31;0.00;-159.65;-78.83;0.00;49.31
47.65;12.66;p;64.66;0.49;121.52;0.00;5.29;49.31
44.89;8.15;p;64.66;0.00;121.52;0.00;5.29;45.62
42.12;3.64;y;46.53;0.00;121.52;144.74;0.00;42.28
42.12;3.64;p;104.54;0.00;-93.74;0.00;8.54;42.28
41.57;12.17;p;104.65;0.53;-93.74;0.00;8.54;43.31
41.01;20.69;y;24.02;0.09;-93.74;73.63;0.00;45.93
41.01;20.69;p;79.23;0.54;-20.11;0.00;6.43;45.93
47.05;22.91;y;4.66;0.00;-20.11;11.74;0.00;52.33
47.05;22.91;p;83.94;2.49;-8.37;0.00;6.84;52.33
53.82;23.90;y;31.81;0.84;-8.37;-97.68;0.00;58.88
53.82;23.90;p;71.40;1.33;-106.05;0.00;5.82;58.88
52.21;29.49;p;71.40;1.71;-106.05;0.00;5.82;59.96
50.60;35.08;y;0.01;0.00;-106.05;0.40;0.00;61.57
50.60;35.08;p;76.87;0.29;-105.66;0.00;6.25;61.57
48.91;41.10;p;77.01;0.00;-105.66;0.00;6.25;63.89
47.22;47.12;y;0.97;0.00;-105.66;-1.09;0.00;66.71
47.22;47.12;p;116.17;2.54;-106.74;0.00;9.45;66.71
44.50;56.18;y;0.96;0.00;-106.74;0.26;0.00;71.67
44.50;56.18;p;99.47;0.66;-106.48;0.00;8.11;71.67
42.20;63.95;y;24.32;0.00;-106.48;74.92;0.00;76.62
42.20;63.95;p;65.05;1.62;-31.56;0.00;5.33;76.62
46.74;66.74;p;66.08;1.73;-31.56;0.00;5.33;81.48
51.27;69.53;y;23.05;0.11;-31.56;70.72;0.00;86.39
51.27;69.53;p;95.52;3.49;39.16;0.00;7.82;86.39
57.34;64.59;p;95.49;1.92;39.16;0.00;7.82;86.37
63.40;59.65;y;21.67;1.31;39.16;-66.08;0.00;87.05
63.40;59.65;p;90.25;0.70;-26.92;0.00;7.35;87.05
69.95;62.97;y;30.29;1.37;-26.92;92.87;0.00;94.12
69.95;62.97;p;64.71;0.00;65.95;0.00;5.22;94.12
72.07;58.21;p;64.03;0.39;65.95;0.00;5.22;92.65
74.20;53.45;y;5.34;0.03;65.95;15.51;0.00;91.45
74.20;53.45;p;84.62;1.25;81.46;0.00;6.90;91.45
75.23;46.63;y;19.07;2.16;81.46;58.22;0.00;88.50
75.23;46.63;p;90.00;1.42;139.68;0.00;7.36;88.50
69.61;41.86;y;7.90;0.00;139.68;23.55;0.00;81.23
69.61;41.86;p;100.04;3.88;163.23;0.00;8.14;81.23
61.82;39.51;y;16.52;0.00;163.23;-49.91;0.00;73.36
61.82;39.51;p;79.93;1.49;113.32;0.00;6.55;73.36
59.22;33.50;y;10.61;0.72;113.32;-32.59;0.00;68.04
59.22;33.50;p;76.87;2.89;80.73;0.00;6.28;68.04
60.23;27.30;y;17.87;0.09;80.73;-53.92;0.00;66.13
60.23;27.30;p;86.40;1.46;26.81;0.00;7.08;66.13
66.56;24.11;y;23.54;1.62;26.81;73.42;0.00;70.79
66.56;24.11;p;63.77;0.54;100.23;0.00;5.17;70.79
65.64;19.02;y;13.21;0.02;100.23;-40.03;0.00;68.34
65.64;19.02;p;74.70;1.03;60.19;0.00;6.05;68.34
68.65;13.77;p;73.67;2.83;60.19;0.00;6.05;70.02
71.66;8.52;y;41.71;0.42;60.19;-130.39;0.00;72.16
71.66;8.52;p;70.49;0.00;-70.20;0.00;5.72;72.16
73.59;13.90;p;70.49;0.16;-70.20;0.00;5.72;74.89
75.53;19.28;y;4.35;0.30;-70.20;-11.07;0.00;77.95
75.53;19.28;p;88.38;0.49;-81.26;0.00;7.14;77.95
76.62;26.34;p;87.83;0.13;-81.26;0.00;7.14;81.02
77.70;33.40;y;0.90;0.00;-81.26;-0.75;0.00;84.57
77.70;33.40;p;92.61;2.24;-82.02;0.00;7.55;84.57
78.75;40.88;p;91.95;0.84;-82.02;0.00;7.55;88.73
79.80;48.35;p;91.96;1.93;-82.02;0.00;7.55;93.30
80.85;55.83;p;92.60;2.80;-82.02;0.00;7.55;98.25
81.89;63.31;y;22.68;1.24;-82.02;-70.19;0.00;103.51
81.89;63.31;p;76.72;0.30;-152.20;0.00;6.31;103.51
76.31;66.25;y;26.60;0.00;-152.20;81.15;0.00;101.06
76.31;66.25;p;74.39;0.12;-71.06;0.00;6.05;101.06
